"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Escolá M.F.; Márquez R.M.F.","Escolá, Marcela Ferrari (57199509461); Márquez, Rosa María Farfán (6505848475)","57199509461; 6505848475","Multiply by summing: An experience with senior high school students; [Multiplicar sumando: Una experiencia con estudiantes de bachillerato]","2017","Revista Latinoamericana de Investigacion en Matematica Educativa","20","2","","137","166","29","0","10.12802/relime.17.2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038097458&doi=10.12802%2frelime.17.2021&partnerID=40&md5=0aacc1e9a5d066ebbf221ad1d7995064","Universidad Autónoma de Guerrero, Mexico; Departamento de Matemática Educativa, Centro de Investigación y de Estudios Avanzados del IPN, Mexico","Escolá M.F., Universidad Autónoma de Guerrero, Mexico; Márquez R.M.F., Departamento de Matemática Educativa, Centro de Investigación y de Estudios Avanzados del IPN, Mexico","In this article we report an experience carried out with senior high school students based on Socioepistemology and adopting didactic engineering as research methodology. The purpose was to generate a particular environment that would favor the emergence of the logarithmic using manageable materials, rescuing primordial arguments by Stiffer, Napier y Briggs. The analysis of the students’ individual and collective argumentations which arise when discovering and using the rule of multiply by summing as a tool to facilitate operations in order to construct more charts as well as the game’s general chart, demonstrates an approach to the covariation and the logarithmic properties. © 2017 Comite Latinoamericano de Matematica Educativa. All rights reserved.","Logarithmic properties; Multiply by summing; Socioepistemology","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85038097458"
"Gusmão T.C.R.S.; Moll V.F.","Gusmão, Tânia Cristina Rocha Silva (54410558900); Moll, Vicenç Font (58752740700)","54410558900; 58752740700","Metacognitive analysis of a mathematics class on surface measurement; [ANÁLISIS METACOGNITIVO DE UN AULA DE MATEMÁTICA SOBRE MEDIDA DE SUPERFICIES]","2022","Revista Latinoamericana de Investigacion en Matematica Educativa","25","2","","169","196","27","0","10.12802/relime.22.2522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176950901&doi=10.12802%2frelime.22.2522&partnerID=40&md5=39f9a409863de616d80db2ee2008cbd7","Universidade Estadual do Sudoeste da Bahia (UESB), Bolsista produtividade CNQop-PQ-2, Brazil; Departamento de Educação Lingüística, Literaria e Didactica de las Ciencias Experimentales y Matematicas Universitat de Barcelona, Spain","Gusmão T.C.R.S., Universidade Estadual do Sudoeste da Bahia (UESB), Bolsista produtividade CNQop-PQ-2, Brazil; Moll V.F., Departamento de Educação Lingüística, Literaria e Didactica de las Ciencias Experimentales y Matematicas Universitat de Barcelona, Spain","The objective of this st udy is to analyze the practices that a teacher car ries out with his st udents to solve a surface measurement problem in which aspects of a metacognitive nat ure intervene. A didactic proposal was designed, based on a diagnostic teaching methodology, in which the teacher proposes a t ask t o br i ng out di fferent personal meani ngs about the length and surface magnit udes, usi ng Fletcher’s tangram. The instruction was carried out in a class of 26 14-year-old students who were in the 2nd year of Compulsory Secondary Education in Spain. For the analysis, constructs of metacognition and the Ontosemiotic Approach were taken as theoretical reference. Among the conclusions is that cognition and metacognition can be improved with well planned and responsibly executed instruction. © 2022, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Cognition; Metacognition; Problem Solving; Surface Measurement; Teaching Practices","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85176950901"
"Cantoral R.","Cantoral, Ricardo (56000894900)","56000894900","Editorial 2020","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","3","","269","270","1","0","10.12802/relime.20.2330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098005322&doi=10.12802%2frelime.20.2330&partnerID=40&md5=a1751a42923cc5176e70bcacd93340b3","Cinvestav-IPN, Mexico","Cantoral R., Cinvestav-IPN, Mexico","[No abstract available]","","","Spanish","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85098005322"
"Batanero C.; Gea M.M.; Arteaga P.; Contreras J.M.; Díaz C.","Batanero, Carmen (6508317702); Gea, María M. (56667533500); Arteaga, Pedro (54410144000); Contreras, J.M. (55200724900); Díaz, Carmen (56884675200)","6508317702; 56667533500; 54410144000; 55200724900; 56884675200","Content knowledge of correlation and regression in prospective teachers; [Conocimiento del contenido sobre correlación y regresión de futuros profesores]","2018","Revista Latinoamericana de Investigacion en Matematica Educativa","21","3","","325","348","23","0","10.12802/relime.18.2134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070371518&doi=10.12802%2frelime.18.2134&partnerID=40&md5=ec9713e72007d4edc9f4d24522a5a0a0","Universidad de Granada, Spain; Universidad de Huelva, Spain","Batanero C., Universidad de Granada, Spain; Gea M.M., Universidad de Granada, Spain; Arteaga P., Universidad de Granada, Spain; Contreras J.M., Universidad de Granada, Spain; Díaz C., Universidad de Huelva, Spain","This research aimed to identify content knowledge (common, advanced and specialised) of correlation and regression in a sample of 65 prospective secondary and high school teachers. The participants’ written productions in different tasks proposed within a statistical project based on United Nations Data were analysed. Results suggest a good estimation of correlation and identification of the model of fit (common knowledge), correct ordering of explanatory variables according to their predictive value, some difficulty in explaining correlation by relationships different from causality (advanced knowledge), and a reasonable analysis of the project didactic suitability (specialised knowledge). We also inform of some biases, as well as the effect of task variables in the responses. © 2019 Revista Latinoamericana de Investigacion en Matematica Educativa. All rights reserved.","assessment; content knowledge; Correlation and regression; prospective teachers; secondary and high school levels","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85070371518"
"Amaral C.A.N.; Veiga Ferreira de Souza M.A.; Belford Powell A.","Amaral, Camila Augusta Do Nascimento (58540070100); Veiga Ferreira de Souza, Maria Alice (57280040300); Belford Powell, Arthur (58540306900)","58540070100; 57280040300; 58540306900","Construction of the Fraction Concept from a Measurement Perspective: contributions of the 4A Instructional Model; [CONSTRUÇÃO DO CONCEITO DE FRAÇÃO SOB A PERSPECTIVA DE MEDIÇÃO: CONTRIBUIÇÕES DO 4A INSTRUCTIONAL MODEL]","2022","Revista Latinoamericana de Investigacion en Matematica Educativa","25","3","","263","288","25","0","10.12802/relime.22.2531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168292911&doi=10.12802%2frelime.22.2531&partnerID=40&md5=7dd9eae072a15e26733069d00a40ade1","Instituto Federal do Espírito Santo, Brazil; Rutgers University-Newark, United States","Amaral C.A.N., Instituto Federal do Espírito Santo, Brazil; Veiga Ferreira de Souza M.A., Instituto Federal do Espírito Santo, Brazil; Belford Powell A., Rutgers University-Newark, United States","Researches reveals that the robust understanding of fractions shapes students’ future mathematics performance and that their fraction knowledge may depend on how it is taught. Researchers report that teaching fractions from a measuring perspective can promote students’ conceptual understandings. We investigate this hypothesis with brazilian elementary school students and use the pedagogical approach, 4A Instructional Model. Results reveal that the students demonstrated conceptual knowledge about the magnitude comparison of fractions and the construction of equivalence of fractions. They were able evoke mental images of this content and write competently mathematical expressions of fraction magnitude comparisons. Further research is needed to investigate how the measuring perspective taught through the 4A Instructional Model influences students’ understanding about the arithmetic operations of fractions. © 2022, Comite Latinoamericano de Matematica Educativa. All rights reserved.","4A Instructional Model; Fraction; Learning; Measuring; Teaching","","Portuguese","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168292911"
"Ergene Ö.; Özdemir A.Ş.","Ergene, Özkan (57200722956); Özdemir, Ahmet Şükrü (36544416300)","57200722956; 36544416300","A study on the pre-service elementary mathematics teachers’ knowledge on the convergence and divergence of series in the context of theory and application","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","2","","203","232","29","5","10.12802/relime.20.2323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090619351&doi=10.12802%2frelime.20.2323&partnerID=40&md5=896d62039c31ced13166a40efaf1657a","Sakarya University, Faculty of Education, Turkey; Marmara University, Atatürk Faculty of Education, Turkey","Ergene Ö., Sakarya University, Faculty of Education, Turkey; Özdemir A.Ş., Marmara University, Atatürk Faculty of Education, Turkey","The focus of this research is the examination of the theoretical and pract ical knowledge regardi ng t he convergence and divergence of the series. In line with the research focus, it is aimed to reveal the approaches of pre-service elementary mathematics teachers on the convergence and divergence of the series with the help of the real-life problem in the context of theory and application by using the concept of harmonic series. The research car ried out t he qualit at ive research method is designed according to the case study. The data of the research have consisted of two written questions and one problem and four interview questions which were formed by the researchers and their validity and reliability were ensured. The study concluded that pre-service teachers have theoretical knowledge on the convergence of series and harmonic series. Also, their perception of series, harmonic series, convergence and divergence concepts changed in the application process and they performed different approaches in problem-solving. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Calculus Teaching; Convergence and Divergence; Harmonic Series; Theoretical and Application","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85090619351"
"Burgos M.; Castillo M.J.","Burgos, María (20733491600); Castillo, María José (57548078600)","20733491600; 57548078600","Didactic suitability of mathematics educational videos: an experience with students for teachers; [IDONEIDAD DIDÁCTICA DE VÍDEOS EDUCATIVOS DE MATEMÁTICAS: UNA EXPERIENCIA CON ESTUDIANTES PARA MAESTRO]","2023","Revista Latinoamericana de Investigacion en Matematica Educativa","25","3","","341","366","25","0","10.12802/RELIME.22.2534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171575679&doi=10.12802%2fRELIME.22.2534&partnerID=40&md5=e573dc54fcee7e79c7e2941f222dba7f","Universidad de Granada, Spain; Universidad de Costa Rica, Costa Rica","Burgos M., Universidad de Granada, Spain; Castillo M.J., Universidad de Costa Rica, Costa Rica","This paper describes the design, implementation and results of a formative action with 61 students for primary education teachers, oriented to the development of the competence of analysis of the didactic suitability of educational videos about percentages. The a priori analysis of the video made by the researchers revealed important deficiencies in the different facets of didactic suitability, being especially relevant those detected in the epistemic dimension. Most of the students for teacher made quite relevant global assessments of the didactic suitability (70.49% considered it between low and medium) basing their judgment on the precision or degree of fulfillment of the suitability indicators in the different components. However, although the suggestions for improvement indicated are quite timely, not all students who identify weaknesses in the videos are able to explicitly make changes to the resource. © 2023, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Didactical suitability; Educational videos; Percentage; Proportionality; Teachers’ education","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85171575679"
"Montiel-Espinosa G.","Montiel-Espinosa, Gisela (56715791300)","56715791300","Also another communication of science is possible; [TAMBIÉN OTRA COMUNICACIÓN DE LA CIENCIA ES POSIBLE]","2022","Revista Latinoamericana de Investigacion en Matematica Educativa","25","2","","131","134","3","0","10.12802/relime.22.2520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164001441&doi=10.12802%2frelime.22.2520&partnerID=40&md5=7bcfb7898d4405560f8be478225354ca","Centro de Investigación y de Estudios Avanzados, Mexico","Montiel-Espinosa G., Centro de Investigación y de Estudios Avanzados, Mexico","[No abstract available]","","","Spanish","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164001441"
"Cordero F.; Valle T.D.; Morales A.","Cordero, Francisco (8641887000); Valle, Tamara Del (57211792266); Morales, Astrid (57204496179)","8641887000; 57211792266; 57204496179","Uses of the optimization of engineers in training: The role of mechatronic engineering and the work of lagrange; [Usos de la optimización de ingenieros en formación: El rol de la ingeniería mecatrónica y de la obra de Lagrange]","2019","Revista Latinoamericana de Investigacion en Matematica Educativa","22","2","","185","212","27","8","10.12802/relime.19.2223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075026810&doi=10.12802%2frelime.19.2223&partnerID=40&md5=d2f85888872961cb19d2b52286046711","Cinvestav-IPN, Mexico; Universidad de Talca, Chile; Pontificia Universidad Católica de Valparaíso, Chile","Cordero F., Cinvestav-IPN, Mexico; Valle T.D., Universidad de Talca, Chile; Morales A., Pontificia Universidad Católica de Valparaíso, Chile","The teaching of optimization, has usually become a mechanical process and devoid of arguments: In general their uses are ignored in specific situations of other disciplines, such as engineering. With the Socio -Epistemological Theory, we make an empirical investigation, where the epistemology of uses is problematized to value the functional justification demanded by other domains of knowledge. We analyze aspects of the Lagrange Analytical Mechanics work and the work of mechatronic engineers. Engineers in training were defined as the study community and the emergence of a specific selection situation is supported as its uses and meanings of optimization. The methodology consisted in the technique of documentary analysis and semi-structured interviews. It was found that selection situations generate optimization meanings and arguments. Este artículo reporta la investigación doctoral, no publicada. © 2019, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Engineering; Optimization; Resignify; School Mathematics discourse; Selection situation","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85075026810"
"Cantoral R.","Cantoral, Ricardo (56000894900)","56000894900","Mainstream Journals: Relime And Jcr; [REVISTAS DE CORRIENTE PRINCIPAL: RELIME y JCR – JOURNAL CITATION REPORTS]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","3","","243","244","1","0","10.12802/relime.21.2430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127390536&doi=10.12802%2frelime.21.2430&partnerID=40&md5=bc3e069c936c71dec685b1a8956e2bf0","Cinvestav-IPN, Mexico","Cantoral R., Cinvestav-IPN, Mexico","[No abstract available]","","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85127390536"
